index,target
1-1,2030年までに、世界中で「極度に貧しい」暮らしをしている人をなくす。
1-2,2030年までに、それぞれの国の基準でいろいろな面で「貧しい」とされる男性、女性、子どもの割合を少なくとも半分減らす。
1-3,それぞれの国で、人びとの生活を守るためのきちんとした仕組みづくりや対策をおこない、2030年までに、貧しい人や特に弱い立場にいる人たちが十分に守られるようにする。
1-4,2030年までに、貧しい人たちや特に弱い立場にいる人たちをはじめとしたすべての人が、平等に、生活に欠かせない基礎的サービスを使えて、土地や財産の所有や利用ができて、新しい技術や金融サービスなどを使えるようにする。
1-5,2030年までに、貧しい人たちや特に弱い立場の人たちが、自然災害や経済ショックなどの被害にあうことをなるべく減らし、被害にあっても生活をたて直せるような力をつける。
1-a,開発途上国、特に最も開発が遅れている国で、「貧しさ」をなくすための計画や政策を実行していけるよう、いろいろな方法で資金をたくさん集める。
1-b,それぞれの国や世界で、貧しい人たちのことや男女の違いなどをよく考えて政策をつくり、「貧しさ」をなくすためのとりくみにもっと資金などを増やして取り組めるようにする。
2-1,2030年までに、飢えをなくし、貧しい人も、幼い子どもも、だれもが一年中安全で栄養のある食料を、十分に手に入れられるようにする。
2-2,世界の国ぐにが約束した、2025年までに、栄養がとれない、または栄養のバランスが良くないことによって、成長がさまたげられる5さい未満の子どもを減らす目標を達成するなどして、2030年までに、いろいろな形の栄養不良をなくす。妊娠していたり、赤ちゃんがいたりするお母さん、お年寄りの栄養について、よりよい取り組みを行う。
2-3,2030年までに、小規模の食料生産者（特に女性、先住民、家族農家、牧畜や漁業をしている人々）の生産性と収入を倍にする。そのために、土地や資源、知識を得たり、金融サービスを使ったり、食料を売ったり、農業以外の仕事に就いたりするチャンスを平等に得られるようにする。
2-4,2030年までに、食料の生産性と生産量を増やし、同時に、生態系を守り、気候変動や干ばつ、洪水などの災害にも強く、土壌を豊かにしていくような、持続可能な食料生産の仕組みをつくり、何か起きてもすぐに回復できるような農業を行う。
2-5,2030年までに、作物の種子、栽培される植物、家畜の遺伝的な多様性を守る。そして、作物や家畜の利用に関して、人類がこれまでに生み出してきた知識や、そこから得られる利益を、国際的な話し合いのもと、公正に使い、分配できるようにする。
2-a,開発途上国、特に最も開発が遅れている国での農業の生産量を増やすために、国際協力などを通じて、農業に必要な施設や研究、知識の普及、技術開発や、遺伝子の保存（ジーン・バンク）に資金をだす。
2-b,国際的な約束にしたがって、世界の農産物の貿易で、制限をなくしたり、かたよった取り引きをなくしたりする。
2-c,食料の価格が極端に上がったり下がったりしてしまわないように、市場（マーケット）がきちんと機能するようにしたり、今どれだけの食料の備えがあるのかという情報を、必要な時に見られるようにしたりする。
3-1,2030年までに、赤ちゃんがおなかの中にいるときや、お産のときに、命を失ってしまうお母さんを、2030年までに、産まれる赤ちゃん10万人あたり70人未満まで減らす。
3-2,すべての国で、生まれて28日以内に命を失う赤ちゃんの数を1000人あたり12人以下まで、5さいまでに命を失う子どもの数を1000人あたり25人以下まで減らし、2030年までに、赤ちゃんやおさない子どもが、予防できる原因で命を失うことがないようにする。
3-3,2030年までに、エイズ、結核、マラリアや、これまで見放されてきた熱帯病などの伝染病をなくす。また、肝炎や、汚れた水が原因で起こる病気などへの対策をすすめる。
3-4,2030年までに、予防や治療をすすめ、感染症以外の病気で人々が早く命を失う割合を3分の1減らす。心の健康への対策や福祉もすすめる。
3-5,麻薬を含む薬物やアルコールなどの乱用を防ぎ、治療をすすめる。
3-6,2030年までに、交通事故による死亡やけがを半分にまで減らす。
3-7,2030年までに、すべての人が、性や子どもを産むことに関して、保健サービスや教育を受け、情報を得られるようにする。国はこれらを国の計画のなかに入れてすすめる。
3-8,すべての人が、お金の心配をすることなく基礎的な保健サービスを受け、値段が安く、かつ質の高い薬を手に入れ、予防接種を受けられるようにする（ユニーバーサル・ヘルス・カバレッジ）。
3-9,2030年までに、有害な化学物質や、大気・水・土壌の汚染が原因で起こる死亡や病気を大きく減らす。
3-a,すべての国で、たばこを規制する条約で決められたことが実施されるよう、必要に応じて取り組みを強める。
3-b,主に開発途上国で大きな影響をおよぼす病気に対するワクチンや薬の開発を助ける。また、国際的な約束や宣言にしたがって、安い値段で薬やワクチンを開発途上国にも届けられるようにする。
3-c,開発途上国、特に、最も開発が遅れている国や島国で、保健に関わる予算と、保健サービスに関わる職員の数や能力、その人たちへの研修を大きく増やす。
3-d,すべての国、特に開発途上国において、その国や世界で健康をおびやかす危険な状態が発生したときに、それにすばやく気づいて知らせ、危険な状態を減らしたり、対応したりする力を強める。
4-1,2030年までに、男の子も女の子も、すべての子どもが、しっかり学ぶことのできる、公平で質の高い教育を無料で受け、小学校と中学校を卒業できるようにする。
4-2,2030年までに、すべての子どもが、幼稚園や保育園にかよったりして、小学校にあがるための準備ができるようにする。
4-3,2030年までに、すべての人が、男女の区別なく、無理なく払える費用で、技術や職業に関する教育や、大学をふくめた高等教育を受けられるようにする。
4-4,2030年までに、はたらきがいのある人間らしい仕事についたり、新しく会社をおこしたりできるように、仕事に関係する技術や能力をそなえた若者やおとなをたくさん増やす。
4-5,2030年までに、教育のなかでの男女の差別をなくす。障がいがあったり、先住民族だったり、特にきびしいくらしを強いられている子どもでも、あらゆる段階の教育や、職業訓練を受けることができるようにする。
4-6,2030年までに、すべての若者や大半のおとなが、男女ともに、読み書きや計算ができるようにする。
4-7,2030年までに、教育を受けるすべての人が、持続可能な社会をつくっていくために必要な知識や技術を身につけられるようにする。そのために、たとえば、持続可能な社会をつくるための教育や、持続可能な生活のしかた、人権や男女の平等、平和や暴力を使わないこと、世界市民としての意識、さまざまな文化があることなどを理解できる教育をすすめる。
4-a,子どものこと、障がいや男女の差などをよく考えて、学校の施設を作ったり、なおしたりし、すべての人に、安全で、暴力のない、だれも取り残されないような学習のための環境をとどける。
4-b,2030年までに、開発途上国、特に最も開発が遅れている国、島国やアフリカの国などの人が、先進国や他の国で、職業訓練、情報通信技術、科学技術のプログラムなどの高等教育を受けるための奨学金の数を世界的にたくさん増やす。
4-c,2030年までに、開発途上国、特に開発が遅れている国や島国で、学校の先生の研修のための国際協力などを通じて、知識や経験のある先生の数をたくさん増やす。
5-1,すべての女性と女の子に対するあらゆる差別をなくす。
5-2,女性や女の子を売り買いしたり、性的に、また、その他の目的で一方的に利用することをふくめ、すべての女性や女の子へのあらゆる暴力をなくす。
5-3,子どもの結婚、早すぎる結婚、強制的な結婚、女性器を刃物で切りとる慣習など、女性や女の子を傷つけるならわしをなくす。
5-4,お金が支払われない、家庭内の子育て、介護や家事などは、お金が支払われる仕事と同じくらい大切な「仕事」であるということを、それを支える公共のサービスや制度、家庭内の役割分担などを通じて認めるようにする。
5-5,政治や経済や社会のなかで、何かを決めるときに、女性も男性と同じように参加したり、リーダーになったりできるようにする。
5-6,国際的な会議で決まったことにしたがって、世界中だれもが同じように、性に関することや子どもを産むことに関する健康と権利が守られるようにする。
5-a,それぞれの国の法律にしたがって、女性も財産などについて男性と同じ権利を持てるようにし、土地やさまざまな財産を持ったり、金融サービスの利用や相続などができるようにするための改革をおこなう。
5-b,女性が能力を高められるように、インターネットなどの技術をさらに役立てる。
5-c,男女の平等をすすめ、すべての女性や女の子があらゆるレベルで能力を高められるように、適切な政策や効果のある法律を作り、強化する。
6-1,2030年までに、だれもが安全な水を、安い値段で利用できるようにする。
6-2,2030年までに、だれもがトイレを利用できるようにして、屋外で用を足す人がいなくなるようにする。女性や女の子、弱い立場にある人がどんなことを必要としているのかについて、特に注意する。
6-3,2030年までに、汚染を減らす、ゴミが捨てられないようにする、有害な化学物質が流れ込むことを最低限にする、処理しないまま流す排水を半分に減らす、世界中で水の安全な再利用を大きく増やすなどの取り組みによって、水質を改善する。
6-4,2030年までに、今よりもはるかに効率よく水を使えるようにし、淡水を持続可能な形で利用し、水不足で苦しむ人の数を大きく減らす。
6-5,2030年までに、必要な時は国境を越えて協力して、あらゆるレベルで水源を管理できるようにする。
6-6,2020年までに、山や森林、湿地、川、地下水を含んでいる地層、湖などの水に関わる生態系を守り、回復させる。
6-a,2030年までに、集水、海水から真水を作る技術や、水の効率的な利用、排水の処理、リサイクル・再利用技術など、水やトイレに関する活動への国際協力を増やし、開発途上国がそれらに対応できる力を高める。
6-b,水やトイレをよりよく管理できるように、コミュニティの参加をすすめ、強化する。
7-1,2030年までに、だれもが、安い値段で、安定的で現代的なエネルギーを使えるようにする。
7-2,2030年までに、エネルギーをつくる方法のうち、再生可能エネルギーを使う方法の割合を大きく増やす。
7-3,2030年までに、今までの倍の速さで、エネルギー効率をよくしていく。
7-a,2030年までに、国際的な協力を進めて、再生可能エネルギー、エネルギー効率、石炭や石油を使う場合のより環境にやさしい技術などについての研究を進め、その技術をみんなが使えるようにし、そのために必要な投資をすすめる。
7-b,2030年までに、さまざまな支援プログラムを通じて、開発途上国、特に、最も開発が遅れている国、小さな島国や内陸の国で、すべての人が現代的で持続可能なエネルギーを使えるように、設備を増やし、技術を高める。
8-1,それぞれの国の状況に応じて、人びとが経済的に豊かになっていけるようにする。開発途上国、特に最も開発が遅れている国は、毎年少なくとも年7％の国内総生産（GDP）の成長を続けられるようにする。
8-2,商品やサービスの価値をより高める産業や、労働集約型の産業を中心に、多様化、技術の向上、イノベーションを通じて、経済の生産性をあげる。
8-3,働きがいのある人間らしい仕事を増やしたり、会社を始めたり、新しいことを始めたりすることを助ける政策をすすめる。特に、中小規模の会社の設立や成長を応援する。
8-4,2030年までに、消費と生産において、世界がより効率よく資源を使えるようにしていく。また、先進国が主導しながら、計画にしたがって、経済成長が、環境を悪化させることにつながらないようにする。
8-5,2030年までに、若い人たちや障害がある人たち、男性も女性も、働きがいのある人間らしい仕事をできるようにする。そして、同じ仕事に対しては、同じだけの給料が支払われるようにする。
8-6,2030年までに、仕事も、通学もせず、職業訓練も受けていない若い人たちの数を大きく減らす。
8-7,むりやり働かせること、奴隷（どれい）のように働かせること、人を売り買いすることを終わらせるために、効果的な取り組みを緊急におこない、子どもを兵士にすることをふくめた最悪の形の児童労働を確実に禁止し、なくす。また、2025年までに、あらゆる形の児童労働をなくす。
8-8,他の国に移住して働いている人、中でも女性、仕事を続けられるか不安定な状況で働いている人を含めた、すべての人の働く権利を守って、安全に安心して仕事ができる環境を進めていく。
8-9,2030年までに、地方の文化や産品を広め、働く場所をつくりだす持続可能な観光業を、政策をつくり、実施していく。
8-10,国内の金融機関の能力を強化し、すべての人たちが銀行や保険などのお金に関するサービスを使えるようにする。
8-a,拡大統合フレームワーク（EIF）などを通して、開発途上国、特に、最も開発が遅れている国に対して、貿易のための援助を増やす。
8-b,2030年までに、若い人たちの仕事についての世界的な戦略をつくって実行する。
9-1,すべての人のために、安くて公平に使えることを重視した経済発展と福祉を進めていけるように、質が高く、信頼でき、持続可能な、災害などにも強いインフラをつくる。それには、地域のインフラや国を越えたインフラも含む。
9-2,だれも取り残されない持続可能な産業化をすすめて、2030年までに、それぞれの国の状況に応じて、雇用と国内総生産（GDP）に占める農業や漁業など以外の割合を大きく増やす。もっとも開発が遅れている国については、その割合を2倍にする。
9-3,特に開発途上国の規模の小さな工場や会社が、安く資金を借りるなどの金融サービスをより利用できるようにし、モノやサービスの流れやその市場に、より広く組み込まれるようにする。
9-4,2030年までに、資源をよりむだなく使えるようにし、環境にやさしい技術や生産の方法をより多く取り入れて、インフラや産業を持続可能なものにする。すべての国が、それぞれの能力に応じて、これに取り組む。
9-5,2030年までに、イノベーションをすすめたり、研究や開発の仕事をしている人の100万人あたりの人数を大きくふやしたり、政府と民間（会社など）による研究や開発への支出をふやしたりして、開発途上国をはじめとするすべての国で、さまざまな産業での科学研究をすすめ、技術能力をのばす。
9-a,アフリカの国ぐに、もっとも開発が遅れている国ぐに、内陸の開発途上国、開発途上の小さな島国に対し、資金・テクノロジー・技術面での支援を強めて、開発途上国における、持続可能で、災害にも強いしっかりしたインフラの開発をすすめる。
9-b,さまざまな産業が発展したり、価値のある商品を創り出したりするための政策を整えることなどによって、開発途上国の国内の技術開発や研究、イノベーションを支援する。
9-c,特に、最も開発が遅れている国で、情報通信技術がより広く利用できるようにし、2030年までに安い値段でだれもがインターネットを使えるようにする。
10-1,2030年までに、各国のなかで所得の低いほうから40％の人びとの所得の増え方が、国全体の平均を上回るようにして、そのペースを保つ。
10-2,2030年までに、年齢、性別、障がい、人種、民族、生まれ、宗教、経済状態などにかかわらず、すべての人が、能力を高め、社会的、経済的、政治的に取り残されないようにすすめる。
10-3,差別的な法律、政策やならわしをなくし、適切な法律や政策、行動をすすめることなどによって、人びとが平等な機会（チャンス）をもてるようにし、人びとが得る結果（たとえば所得など）についての格差を減らす。
10-4,財政、賃金、社会保障などに関する政策をとることによって、だんだんと、より大きな平等を達成していく。
10-5,世界の金融市場と金融機関に対するルールと、ルールが守られているか監視するシステムをより良いものにして、ルールが、よりしっかりと実行されるようにする。
10-6,世界経済や金融制度について何か決めるときに、開発途上国の参加や発言を増やすことによって、より効果的で、信頼できる、だれもが納得することのできる制度を作る。
10-7,計画にもとづいてよく管理された移住に関する政策を実施するなどして、混乱がなく安全で、手続きにしたがい責任ある形の移住や人びとの移動をすすめる。
10-a,開発途上国、特にもっとも開発が遅れている国ぐにに対して、世界貿易機関（WTO）協定にしたがって、貿易において、特別な、先進国と異なる扱いをする。
10-b,もっとも開発が遅れている国や、アフリカ諸国、開発途上の小さい島国、内陸の開発途上国などの、もっとも資金を必要とする国ぐにへ、それらの国の計画にそって、政府開発援助や直接投資などの資金が流れるようにする。
10-c,2030年までに、移住労働者が、自分の国にお金を送る時にかかる費用が「送る金額の3％」より低くなるようにし、「送る金額の5％」を超えるような費用がかかる送金方法をなくす。
11-1,2030年までに、すべての人が、住むのに十分で安全な家に、安い値段で住むことができ、基本的なサービスが使えるようにし、都市の貧しい人びとが住む地域（スラム）の状況をよくする。
11-2,2030年までに、女性や子ども、障害のある人、お年寄りなど、弱い立場にある人びとが必要としていることを特によく考え、公共の交通手段を広げるなどして、すべての人が、安い値段で、安全に、持続可能な交通手段を使えるようにする。
11-3,2030年までに、だれも取り残さない持続可能なまちづくりをすすめる。すべての国で、だれもが参加できる形で持続可能なまちづくりを計画し実行できるような能力を高める。
11-4,世界の文化遺産や自然遺産を保護し、保っていくための努力を強化する。
11-5,2030年までに、貧しい人びとや、特に弱い立場にある人びとを守ることを特に考えて、水害などの災害によって命を失う人や被害を受ける人の数を大きく減らす。世界の国内総生産（GDP）に対して災害が直接もたらす経済的な損害を大きく減らす。
11-6,2030年までに、大気の質やごみの処理などに特に注意をはらうなどして、都市に住む人（一人当たり）が環境に与える影響を減らす。
11-7,2030年までに、特に女性や子ども、お年寄りや障がいのある人などをふくめて、だれもが、安全で使いやすい緑地や公共の場所を使えるようにする。
11-a,国や地域の開発の計画を強化して、都市部とそのまわりの地域と農村部とが、経済的、社会的、環境的にうまくつながりあうことを支援する。
11-b,2020年までに、だれも取り残さず、資源を効率的に使い、気候変動への対策や災害への備えをすすめる総合的な政策や計画をつくり、実施する都市やまちの数を大きく増やす。「仙台防災枠組2015-2030」にしたがって、あらゆるレベルで災害のリスクの管理について定め、実施する。
11-c,お金や技術の支援などによって、もっとも開発の遅れている国ぐにで、その国にある資材を使って、持続可能で災害にも強い建物をつくることを支援する。